,H_IMDB,H_IMDA,H_CTL,M_IMDA,M_IMDB,M_CTL,R_IMDA,R_IMDB,R_CTL
LOC100742613,19.3441292,19.91929695,21.96355689,21.33575178,22.21206093,21.24705283,22.10725888,23.57275556,20.51669013
LOC100742614,5.790814789,6.619093197,6.820129248,6.93679971,7.108154576,5.105446845,9.738240689,7.494792576,5.577548801
LOC100742615,10.19198511,8.94397789,8.001708991,8.738411098,8.73465048,8.22244969,9.986280863,9.315911101,9.107340932
LOC100742616,60.7243643,64.46127013,82.68854929,66.34883025,72.45237171,66.43634415,60.21608985,61.71477512,71.65769808
LOC100742617,24.50527345,22.7196763,23.73271843,23.3280962,24.55130343,20.62622813,24.22487261,24.44741784,22.47696994
LOC100742618,25.92090789,26.90639801,27.63483119,28.61929477,29.32077136,27.51117861,28.96857139,28.34186541,27.90856941
LOC100742619,9.330697086,10.04903978,10.34264581,9.9900285,10.37124163,10.10172219,11.021172,10.32309944,10.51678905
LOC100742620,21.1539431,21.67892705,21.74156493,23.836576,23.13355102,23.74166853,25.16241868,24.66482916,23.49963097
LOC100742621,21.11455029,20.61989312,20.5283587,21.25409004,22.07047951,20.04658576,21.60236009,21.43766436,20.12635599
LOC100742622,4.140324458,3.636809711,2.319508431,2.910815604,2.97836332,2.31318896,2.791366632,2.963920171,2.811862339
LOC100742623,11.47158097,9.524102137,10.15515136,10.04208549,10.5370275,9.555117149,9.657000151,9.178681887,10.06478196
LOC100742624,40.35535649,33.74418118,40.81325316,34.52752244,36.09619228,34.03766858,33.20513186,31.84792915,35.4563581
LOC100742625,38.37661922,34.36993764,35.40433763,34.29044077,36.34117335,32.40499464,34.46799016,34.29208506,34.64870002
LOC100742626,35.41763681,42.89822447,41.99356445,41.39174924,42.15175894,39.47917533,40.5762155,41.44267336,40.04065368
LOC100742627,20.70464113,17.02485632,14.386409,15.35950963,15.30698703,13.53662465,17.71652507,16.25743106,16.08169348
LOC100742628,5.865444911,5.079568544,4.954849834,5.257659005,5.147968447,4.83073887,5.829519655,6.39498044,4.890565317
LOC100742629,35.70737655,39.04849906,41.04152491,35.11361763,36.7273025,34.50905456,32.95857041,35.77234734,35.34417966
LOC100742630,0.157204581,0.137521016,0.160286881,0.1352198,0.08852023,0.135126458,0.094763502,0.11011791,0.146135863
LOC100742631,0.314836014,0.251302451,0.162851926,0.130683411,0.248471021,0.176540793,0.172754492,0.162155015,0.133974613
LOC100742632,5.491063245,6.751946317,7.74134314,6.130677563,6.699236798,6.36858056,6.001465396,6.29286428,6.676816597
LOC100742633,1.122026828,1.776154631,2.5370042,1.293893605,0.664037686,0.625758645,0.824901859,0.611864271,1.237435234
